endpoint,ep_short,noise_type,noise_level,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,RandomForest,baseline,0.25078569254878413,0.5365590494927029,0.2878956135925128,0.44614601440743784,0.497201747439634,0.3744432068457058
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,LightGBM,baseline,0.33377897518568866,0.5059687097384566,0.25600433523439864,0.41314676622541197,0.5539550375407246,0.5064150593312352
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,LightGBM,tuned,0.33297345703132886,0.5062744970407554,0.25631386635386993,0.40430704941837026,0.561930935455586,0.530919111222838
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,RandomForest,tuned,0.25256776159538563,0.5359205442391334,0.2872108297375689,0.44778657938515004,0.49854528118326397,0.3709085577690702
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,MeanPredictor,baseline,-0.0011541498361522518,0.6202474233034663,0.3847068661145892,0.5369064250125548,,-7.963303402782058e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,BayesianRidge,baseline,0.3165021183696658,0.5124872666062326,0.26264319843352774,0.4166206010936485,0.5485905553136685,0.48360676062436236
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,RandomForest,baseline,0.25659898031322714,0.5344733670197653,0.2856617800534447,0.4457321109573701,0.49777985692039245,0.37878770218365765
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,LightGBM,baseline,0.3345716431636817,0.5056676200499546,0.2556997419669852,0.41520128841769083,0.5574039255984696,0.49979072526537804
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,LightGBM,tuned,0.32695635851649096,0.5085528653920297,0.25862601689844383,0.41102610449063925,0.5582526723774466,0.5292128507965723
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,7,RandomForest,tuned,0.25057463769075294,0.5366346189384557,0.28797671424322147,0.4504879791770993,0.4988801156872804,0.3691254772442011
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,MeanPredictor,baseline,-0.0008167452871743475,0.6201428979727288,0.3845772139060143,0.537119474466258,,-3.9829940324449624e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,BayesianRidge,baseline,0.32138806586447244,0.510652237623922,0.2607657077903185,0.41501570742821126,0.5514744873678654,0.4868934702401257
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,RandomForest,baseline,0.251062276164403,0.5364600009699443,0.2877893326406726,0.4457261492926999,0.4965346010162716,0.37702973594599
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,LightGBM,baseline,0.31131109451815975,0.5144297024329425,0.2646379187452458,0.4211276689104554,0.5351133378237074,0.48919096743637297
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,LightGBM,tuned,0.3572205664094048,0.49698751536148184,0.24699659042517916,0.4018217625105562,0.5837694142798144,0.5493598669171664
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,8,RandomForest,tuned,0.26825605149856147,0.5302663430877297,0.2811823946116338,0.44631591953965005,0.5068164502078711,0.38611997218009864
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,MeanPredictor,baseline,-0.001026758324149002,0.6202079604641128,0.3846579142230544,0.5369804781620888,,3.982158409754508e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,BayesianRidge,baseline,0.3184123145607315,0.5117706322274086,0.26190918001044156,0.41602534810310693,0.5528905325504417,0.48334041213844914
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,RandomForest,baseline,0.23473933315205586,0.542274507706417,0.294061641708237,0.449722339953406,0.4734359109645189,0.35803622915296396
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,LightGBM,baseline,0.33592484713608595,0.5051531997821372,0.2551797552501318,0.41361612937466163,0.5638695932561701,0.5040543792597867
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,LightGBM,tuned,0.3455617547739085,0.5014744705946976,0.2514766446582323,0.4000294319407478,0.5658028712588344,0.5410094378196004
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,9,RandomForest,tuned,0.25482612875225896,0.5351102895350724,0.28634302196630906,0.44664365196057065,0.505568362831161,0.36815311773666926
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,MeanPredictor,baseline,-0.0014204022715336162,0.6203298938244953,0.3848091771723096,0.5367648064094335,,-3.9805930805960744e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,BayesianRidge,baseline,0.30568408948435566,0.5165270280002049,0.2668001706547245,0.41995192602291304,0.5402398991312813,0.4742414665798784
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,RandomForest,baseline,0.24165267953924063,0.539819503109257,0.29140509593712505,0.445998206669136,0.48408443585643474,0.3642278300731649
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,LightGBM,baseline,0.33053186355095854,0.507200237864115,0.2572520812894149,0.4144474298959159,0.5527367321075222,0.5059508910561227
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,LightGBM,tuned,0.3227832154050334,0.5101270458700919,0.2602296029281469,0.41662663880457956,0.5492411247520534,0.498259828861938
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,0,RandomForest,tuned,0.23825048379422864,0.5410290520247284,0.29271243513477624,0.4474881294747916,0.48443123976730595,0.3625696248483501
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,MeanPredictor,baseline,-0.0006258872667648241,0.6200837638256346,0.3845038741601654,0.5372623507137205,,3.983753743307941e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,BayesianRidge,baseline,0.3000170951465726,0.5186306865090597,0.2689777889888586,0.42352474728989764,0.5398101073328833,0.4639530993892829
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,RandomForest,baseline,0.24189127965473334,0.5397345742612705,0.29131341065299493,0.4484295418592049,0.4822639791661245,0.37015346656749565
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,LightGBM,baseline,0.3001316225499209,0.5185882570045814,0.2689337803030498,0.4198175716099415,0.5374917233174121,0.4806299259244984
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,LightGBM,tuned,0.3260692709725054,0.5088878974256985,0.25896689214634827,0.4139443104909959,0.5531324432722089,0.4990418565163163
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,1,RandomForest,tuned,0.24815761955511917,0.5374992890916351,0.2889054857740132,0.4474655512837346,0.49084370148098727,0.3689585923227144
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,MeanPredictor,baseline,-0.0015751973440401024,0.6203778358777136,0.38486865924831526,0.5366910442553252,,-3.9799778734741696e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,BayesianRidge,baseline,0.3058667784129474,0.5164590690380177,0.26672996999161597,0.42013027682355936,0.5378444733207209,0.47111615712786303
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,RandomForest,baseline,0.2528108087816243,0.5358334028474274,0.2871174356070535,0.44281374355607483,0.4949607655884908,0.38061014302250135
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,LightGBM,baseline,0.3119484179771552,0.5141916167013981,0.26439301868599757,0.41878083101033337,0.540820299530771,0.4868130353653936
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,LightGBM,tuned,0.3375882721816955,0.5045201303602013,0.2545405619386745,0.4118524871807535,0.5619239082554326,0.5071636609142529
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,2,RandomForest,tuned,0.24462296256679816,0.5387612875617815,0.2902637249752287,0.45092368490047297,0.49103927901492933,0.36274498061552846
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,3,MeanPredictor,baseline,-0.0014007483707403345,0.6203238064899528,0.3848016248981844,0.5367747795714048,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,3,BayesianRidge,baseline,0.2985525068653596,0.5191729736951117,0.2695405766154252,0.42368233161000435,0.5263386557507405,0.4564046058533217
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,3,RandomForest,baseline,0.23156497566519363,0.5433980410429479,0.2952814310093132,0.4525286735819156,0.470471951198684,0.35907931396062437
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.3,3,LightGBM,baseline,0.31450355656338935,0.5132359813239755,0.26341117252558416,0.4223660255386972,0.5345372361144214,0.48758675066615587
