endpoint,ep_short,fraction,n_train,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,RandomForest,tuned,0.034931345222617094,0.6089667743196855,0.3708405322253228,0.5058844129814725,0.2943215368019213,0.16046523111376598
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,MeanPredictor,baseline,-0.0010649289230049153,0.6202197850649015,0.38467258178595265,0.5369574828871655,,3.982006570081729e-32
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,BayesianRidge,baseline,0.10838867663170793,0.585332017413122,0.3426135706089154,0.48728584435686106,0.34605470322413634,0.24947673717929256
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,RandomForest,baseline,0.07603815336368214,0.5958562676151059,0.3550446916562047,0.4937750613311489,0.32940803828033566,0.2137598170961826
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,LightGBM,baseline,0.010859681946826627,0.6165147124308874,0.3800903906437398,0.4999348994441141,0.3078204575806815,0.26941028545217877
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,LightGBM,tuned,0.07892533018356529,0.5949245795608228,0.3539352553656218,0.4919607001936743,0.3132316294523005,0.2198565154519486
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,8,RandomForest,tuned,0.08719532980140798,0.5922477500624723,0.35075739745406065,0.4904502410420874,0.34398438194814906,0.2038977548514221
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,MeanPredictor,baseline,-0.0032362414965114716,0.6208920499328003,0.385506937669755,0.5360738329124372,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,BayesianRidge,baseline,0.06795484420363174,0.5984570254108202,0.3581508112635672,0.49825194408061635,0.2722634644080617,0.2206880801721119
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,RandomForest,baseline,0.004940872482096292,0.6183565090680471,0.38236477230682175,0.5108337260904208,0.2445869266958844,0.16992736796250588
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,LightGBM,baseline,-0.042855334012305235,0.6330332563311122,0.4007311036211716,0.5210426605710415,0.22508065748234543,0.21111893695095685
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,LightGBM,tuned,0.025343374529399054,0.611984344687051,0.3745248381420392,0.5074159392383858,0.23527954166622758,0.18735842604202477
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,9,RandomForest,tuned,0.018751382371709924,0.6140504044900613,0.3770578992544079,0.5108928422533171,0.24093183021165762,0.15764793259212903
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,MeanPredictor,baseline,-0.0006855203829614354,0.6201022407492783,0.38452678898227594,0.539698504116649,,-3.9835163424012277e-32
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,BayesianRidge,baseline,0.2267276992617382,0.5451056953793512,0.29714021913500593,0.4531889664183629,0.46739535030511414,0.36505022419033983
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,RandomForest,baseline,0.18479456588163823,0.559690616523132,0.3132535862240436,0.46754365171953083,0.4420332840281028,0.28430491111356593
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,LightGBM,baseline,0.20316587936557096,0.5533481394374657,0.306194163418905,0.4527725902478546,0.4511638564648868,0.40010132350829836
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,LightGBM,tuned,0.20400103347858567,0.5530580840075741,0.3058732442861289,0.45213691638550874,0.4508647242561556,0.39366047551091726
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,0,RandomForest,tuned,0.18340028587232315,0.5601690431978632,0.3137893569572095,0.47012956293907116,0.4319931138923313,0.2753784175222988
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,MeanPredictor,baseline,-0.00773559963295356,0.6222827943819835,0.38723587618385,0.5350607153524493,,0.0
