endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.25,617,12,none,0.0,base,0.1342080853748491,0.5691531016939033,0.3239352531677907,0.460119561355987,0.3820429737817754,0.407212204924238,0.2570903483683481
HLM,fcfp4,RF,0.25,617,13,none,0.0,base,0.1499510839054437,0.5639548072878994,0.3180450246631318,0.4706025228640776,0.3926671634230537,0.3899219541527736,0.2671247857688666
HLM,fcfp4,RF,0.25,617,14,none,0.0,base,0.1094252966173282,0.5772414667362136,0.3332077109197752,0.4723799796310679,0.3496213128309287,0.3665815090492175,0.2392252596420268
HLM,fcfp4,RF,0.25,617,15,none,0.0,base,0.1679245786345022,0.5579608033235011,0.3113202580454067,0.4600944836213591,0.4195885749293883,0.4162755930689186,0.2709487851740852
HLM,fcfp4,RF,0.25,617,16,none,0.0,base,0.1868776730505054,0.5515695559950418,0.3042289751005675,0.4517317564012943,0.4538406903665917,0.4520096915297136,0.3092252291322025
HLM,fcfp4,RF,0.25,617,17,none,0.0,base,0.1588101037143287,0.5610084050194063,0.3147304305024181,0.459311835947087,0.4223803565446165,0.4283905331327924,0.2665240009695171
HLM,fcfp4,RF,0.25,617,18,none,0.0,base,0.1496702820377424,0.5640479469204405,0.318150086425164,0.4699697609257589,0.3876641378315273,0.3966808222171419,0.2571797595485012
HLM,fcfp4,RF,0.25,617,19,none,0.0,base,0.1566123338425509,0.5617407979578125,0.3155527240902799,0.4661195957155339,0.4056150898176999,0.3903899898972356,0.2806482227710467
HLM,fcfp4,RF,0.3,740,5,none,0.0,base,0.1939038481280866,0.5491813344607578,0.3016001381200986,0.4492554937482197,0.453485482993573,0.4758505659530145,0.3049014530005266
HLM,fcfp4,RF,0.3,740,6,none,0.0,base,0.1517211249634001,0.5633673450066498,0.3173827654198415,0.4620847785329013,0.4035509396327739,0.428622712798172,0.2644237789966729
HLM,fcfp4,RF,0.3,740,7,none,0.0,base,0.1487201913841329,0.5643629700595524,0.3185055619744392,0.4598388502200645,0.3876361006888392,0.4182167652131427,0.2656249042373215
HLM,fcfp4,RF,0.3,740,8,none,0.0,base,0.1713717231668451,0.5568038362572009,0.3100305120707357,0.4606882132920707,0.4158729937995611,0.4298198867875495,0.2898548658304771
HLM,fcfp4,RF,0.3,740,9,none,0.0,base,0.1619659643809755,0.559955059017904,0.3135496681197443,0.4631956103915855,0.4063114180683237,0.4167139347027046,0.271488064214487
HLM,fcfp4,RF,0.3,740,10,none,0.0,base,0.2080717919979037,0.5443337348323389,0.2962992148765231,0.447289629190938,0.4793725774333179,0.4967528803328105,0.3008283088262493
