endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,LightGBM,1.0,2468,1,gaussian,0.3,base,0.25854637159708505,0.5267012408130196,0.27741419707397447,0.4172719570532269,0.538930298106357,0.5352772482480386,0.510539724798687
HLM,LightGBM,1.0,2468,2,gaussian,0.3,base,0.24263693828442168,0.5323219862077413,0.28336669700015477,0.42129666263502324,0.5298245953515194,0.5344545799817907,0.5031276864762451
HLM,LightGBM,1.0,2468,3,gaussian,0.3,base,0.2200169588808828,0.5402128669423215,0.2918299416100424,0.4326393498354733,0.5131226469661654,0.503990222071454,0.48659829680690186
HLM,LightGBM,1.0,2468,4,gaussian,0.3,base,0.28256958537596877,0.5180983821685645,0.2684259336056839,0.4157330202222553,0.5609165596440178,0.5597084827262738,0.5363730753299764
HLM,LightGBM,1.0,2468,0,gaussian,0.5,base,0.23142740275638696,0.5362468969307441,0.2875607344678521,0.4291863601590797,0.5286471551381121,0.5214256012020226,0.5067100884681688
HLM,LightGBM,1.0,2468,1,gaussian,0.5,base,0.19323187558524513,0.5494101892325478,0.30185155603254404,0.4317683136336322,0.5014967660496791,0.49791652954268906,0.480089599625395
HLM,LightGBM,1.0,2468,2,gaussian,0.5,base,0.21389865101300953,0.5423274849241575,0.29411910090416227,0.4332536839906702,0.513266415189367,0.515151119924878,0.48903888563841663
HLM,LightGBM,1.0,2468,3,gaussian,0.5,base,0.17638835896260296,0.5551157918623981,0.30815354237501735,0.44378429210297865,0.4883790310493083,0.47899428530664334,0.4659656075615991
HLM,LightGBM,1.0,2468,4,gaussian,0.5,base,0.27399628549617827,0.5211848289390167,0.2716336259161921,0.41512258021282433,0.5636794103151987,0.566700070348943,0.545405605759008
HLM,LightGBM,1.0,2468,0,gaussian,1.0,base,0.043120292570944185,0.5983441046369041,0.3580156675537385,0.4753253280327338,0.46549050486266164,0.45235265208072284,0.45877746295975214
HLM,LightGBM,1.0,2468,1,gaussian,1.0,base,-0.044776146165484976,0.6252215925042478,0.39090203973354776,0.5089377531160741,0.4119283386550778,0.4045315080236585,0.40818885239522656
HLM,LightGBM,1.0,2468,2,gaussian,1.0,base,-0.05220365853799991,0.6274400662182238,0.3936810366959291,0.5027371952913966,0.41036025697100886,0.41578467614826475,0.4060521989013466
HLM,LightGBM,1.0,2468,3,gaussian,1.0,base,-0.09614647632822337,0.6404078402005768,0.41012220179036757,0.5152371431305565,0.3828911988511521,0.3729862844847214,0.379168038464591
HLM,LightGBM,1.0,2468,4,gaussian,1.0,base,0.06929712593774362,0.5901030666637156,0.34822162928592154,0.467514226683716,0.48824457555676026,0.49586748165093597,0.48515292245327
HLM,LightGBM,1.0,2468,0,systematic_bias,0.1,base,0.28931526471729985,0.5156569051689746,0.2659020438484448,0.4097638338088995,0.5576880929498055,0.5599649061547419,0.5224906019144565
HLM,LightGBM,1.0,2468,1,systematic_bias,0.1,base,0.2880778820793487,0.5161056184841999,0.26636500943095853,0.4095118117208242,0.5576318379335007,0.5544450923449382,0.5239076345178785
HLM,LightGBM,1.0,2468,2,systematic_bias,0.1,base,0.2808332640162573,0.518724952797443,0.26907557665470944,0.4147649962680646,0.5537689525570587,0.5492112161099714,0.5202898801294641
